   1.0000000000000000        0.0000000000000000     
   1.0100000000000000        9.9014398795692227E-003   9.9009900990099098E-003
   1.0200000000000000        1.9608706565683021E-002   1.9607843137254943E-002
   1.0300000000000000        2.9127456987540459E-002   2.9126213592232997E-002
   1.0400000000000000        3.8463130420466542E-002   3.8461538461538547E-002
   1.0500000000000000        4.7620958855495790E-002   4.7619047619047672E-002
   1.0600000000000001        5.6605976781630526E-002   5.6603773584905759E-002
   1.0700000000000001        6.5423030419226355E-002   6.5420560747663559E-002
   1.0800000000000001        7.4076786440106540E-002   7.4074074074074181E-002
   1.0900000000000001        8.2571740207391428E-002   8.2568807339449601E-002
   1.1000000000000001        9.0912223565628281E-002   9.0909090909090939E-002
   1.1100000000000001        9.9102412209600602E-002   9.9099099099099197E-002
   1.1200000000000001       0.10714633265816711       0.10714285714285721     
   1.1299999999999999       0.11504786885761399       0.11504424778761058     
   1.1400000000000001       0.12281076843728374       0.12280701754385970     
   1.1499999999999999       0.13043864863866036       0.13043478260869557     
   1.1599999999999999       0.13793500193762753       0.13793103448275856     
   1.1699999999999999       0.14530320137826852       0.14529914529914523     
   1.1799999999999999       0.15254650563532934       0.15254237288135586     
   1.1899999999999999       0.15966806382131565       0.15966386554621848     
   1.2000000000000000       0.16667092005312778       0.16666666666666663     
   1.2100000000000000       0.17355801779215271       0.17355371900826444     
   1.2200000000000000       0.18033220397081839       0.18032786885245899     
   1.2300000000000000       0.18699623291776904       0.18699186991869921     
   1.2400000000000000       0.19355277009303568       0.19354838709677413     
   1.2500000000000000       0.20000439564384725       0.19999999999999996     
   1.2600000000000000       0.20635360779105197       0.20634920634920639     
   1.2700000000000000       0.21260282605548941       0.21259842519685046     
   1.2800000000000000       0.21875439433307028       0.21875000000000000     
   1.2900000000000000       0.22481058382677760       0.22480620155038766     
   1.3000000000000000       0.23077359584329640       0.23076923076923084     
   1.3100000000000001       0.23664556446150931       0.23664122137404586     
   1.3200000000000001       0.24242855907965544       0.24242424242424243     
   1.3300000000000001       0.24812458684754179       0.24812030075187974     
   1.3400000000000001       0.25373559498981418       0.25373134328358216     
   1.3500000000000001       0.25926347302593872       0.25925925925925930     
   1.3599999999999999       0.26471005489221250       0.26470588235294112     
   1.3700000000000001       0.27007712097081082       0.27007299270072993     
   1.3799999999999999       0.27536640003058904       0.27536231884057960     
   1.3900000000000001       0.28057957108408382       0.28057553956834536     
   1.3999999999999999       0.28571826516490600       0.28571428571428570     
   1.4100000000000001       0.29078406702947851       0.29078014184397172     
   1.4199999999999999       0.29577851678684974       0.29577464788732388     
   1.4299999999999999       0.30070311146010509       0.30069930069930062     
   1.4399999999999999       0.30555930648270219       0.30555555555555558     
   1.4500000000000000       0.31034851713287287       0.31034482758620685     
   1.4600000000000000       0.31507211990906209       0.31506849315068497     
   1.4700000000000000       0.31973145384921264       0.31972789115646261     
   1.4800000000000000       0.32432782179655212       0.32432432432432434     
   1.4900000000000000       0.32886249161439635       0.32885906040268453     
   1.5000000000000000       0.33333669735234955       0.33333333333333337     
   1.5100000000000000       0.33775164036615468       0.33774834437086088     
   1.5200000000000000       0.34210849039332863       0.34210526315789469     
   1.5300000000000000       0.34640838658660739       0.34640522875816993     
   1.5400000000000000       0.35065243850711725       0.35064935064935066     
   1.5500000000000000       0.35484172707909317       0.35483870967741937     
   1.5600000000000001       0.35897730550786944       0.35897435897435903     
   1.5700000000000001       0.36306020016278046       0.36305732484076436     
   1.5800000000000001       0.36709141142652696       0.36708860759493678     
   1.5899999999999999       0.37107191451248472       0.37106918238993702     
   1.6000000000000001       0.37500266025135759       0.37500000000000000     
   1.6099999999999999       0.37888457584850932       0.37888198757763969     
   1.6200000000000001       0.38271856561324047       0.38271604938271608     
   1.6299999999999999       0.38650551166121588       0.38650306748466257     
   1.6400000000000001       0.39024627459118910       0.39024390243902440     
   1.6499999999999999       0.39394169413711411       0.39393939393939392     
   1.6600000000000001       0.39759258979668294       0.39759036144578319     
   1.6699999999999999       0.40119976143727676       0.40119760479041910     
   1.6800000000000002       0.40476398988027290       0.40476190476190477     
   1.6899999999999999       0.40828603746460324       0.40828402366863903     
   1.7000000000000002       0.41176664859041945       0.41176470588235303     
   1.7100000000000000       0.41520655024367914       0.41520467836257313     
   1.7200000000000000       0.41860645250242950       0.41860465116279066     
   1.7300000000000000       0.42196704902552962       0.42196531791907510     
   1.7400000000000000       0.42528901752451731       0.42528735632183912     
   1.7500000000000000       0.42857302021929583       0.42857142857142860     
   1.7600000000000000       0.43181970427828298       0.43181818181818177     
   1.7700000000000000       0.43502970224363829       0.43502824858757061     
   1.7800000000000000       0.43820363244215432       0.43820224719101120     
   1.7900000000000000       0.44134209938237334       0.44134078212290506     
   1.8000000000000000       0.44444569413846491       0.44444444444444442     
   1.8100000000000001       0.44751499472137685       0.44751381215469610     
   1.8200000000000001       0.45055056643774832       0.45054945054945061     
   1.8300000000000001       0.45355296223705427       0.45355191256830607     
   1.8399999999999999       0.45652272304742819       0.45652173913043470     
   1.8500000000000001       0.45946037810059209       0.45945945945945954     
   1.8599999999999999       0.46236644524630366       0.46236559139784938     
   1.8700000000000001       0.46524143125671297       0.46524064171123003     
   1.8799999999999999       0.46808583212100419       0.46808510638297873     
   1.8900000000000001       0.47090013333068320       0.47089947089947093     
   1.8999999999999999       0.47368481015585434       0.47368421052631582     
   1.9100000000000001       0.47644032791281804       0.47643979057591623     
   1.9199999999999999       0.47916714222330425       0.47916666666666663     
   1.9300000000000002       0.48186569926564710       0.48186528497409331     
